Year,Name,Occupation,Political_affiliation,Votes obtained,Elected_or_ot,Political_camp
1998,陸恭蕙,,民權黨,39251,Y,泛民
1998,莊陳有,樂施會副總幹事,獨立,12377,,其他
1998,程介南,公關顧問,民主建港聯盟,90182,Y,建制
1998,葉國謙,校長助理,民主建港聯盟,90182,,建制
1998,孫啓昌,社團總幹事,民主建港聯盟,90182,,建制
1998,鍾樹根,資訊科技,民主建港聯盟,90182,,建制
1998,黃英琦,律師,自由黨,7485,,建制
1998,曹聖玉,護理總經理,自由黨,7485,,建制
1998,林翠蓮,會計行政人員,自由黨,7485,,建制
1998,李柱銘,資深大律師,民主黨,143843,Y,泛民
1998,楊森,香港大學講師,民主黨,143843,Y,泛民
1998,阮品強,中學音樂教師,民主黨,143843,,泛民
1998,陳國樑,市政局議員,民主黨,143843,,泛民
1998,梁永安,執業會計師,獨立,2588,,其他
1998,周潔冰,全職議員,獨立,10950,,其他
1998,李鴻,編輯,獨立,935,,其他
1998,劉千石,勞工工作者,民主黨,113079,Y,泛民
1998,涂謹申,律师,民主黨,113079,Y,泛民
1998,黃仲棋,全職市政局議員及深水埗區議員,民主黨,113079,,泛民
1998,馮檢基,全職議員,香港民主民生協進會,39534,,泛民
1998,廖成利,律師,香港民主民生協進會,39534,,泛民
1998,譚國僑,全職議員,香港民主民生協進會,39534,,泛民
1998,鍾懿芳,律師,民主經濟愛國聯盟,2302,,其他
1998,蔣世昌,全職議員,自由黨,5854,,建制
1998,陳乃裕,全職議員,自由黨,5854,,建制
1998,李景華,總幹事,自由黨,5854,,建制
1998,曾鈺成,臨立會議員,民建聯,44632,Y,建制
1998,葉國忠,董事經理,民建聯,44632,,建制
1998,尹才榜,社會服務行政人員,民建聯,44632,,建制
1998,司徒華,市政局議員,民主黨,145986,Y,泛民
1998,李華明,市政局議員,民主黨,145986,Y,泛民
1998,麥海華,大學講師,民主黨,145986,,泛民
1998,陳婉嫻,工會工作者,民建聯,109296,Y,建制
1998,郭必錚,全職議員,民建聯,109296,,建制
1998,林文輝,中學教師,民建聯,109296,,建制
1998,霍佩儀,保險分區經理,N/A,6339,,其他
1998,李永達,全職議員,民主黨,147098,Y,泛民
1998,何俊仁,律師,民主黨,147098,Y,泛民
1998,黃偉賢,全職議員,民主黨,147098,,泛民
1998,陳樹英,全職議員,民主黨,147098,,泛民
1998,林偉強,公司董事長,N/A,25905,,其他
1998,戴權,公司董事長,N/A,25905,,其他
1998,鄒秉恬,公司行政總裁,N/A,25905,,其他
1998,陳嘉敏,幼稚園校長,N/A,25905,,其他
1998,曹紹偉,公司董事長,N/A,25905,,其他
1998,梁耀忠,教師,N/A,38627,Y,其他
1998,李卓人,職工盟秘書長,前綫,46696,Y,泛民
1998,葉國勳,高級技術主任,前綫,46696,,泛民
1998,丁衍華,全職議員,N/A,11176,,其他
1998,陳聖光,社會服務行政,自由黨,3138,,建制
1998,廖廣生,香港執業會計師,自由黨,3138,,建制
1998,黃國強,社團總幹事,自由黨,3138,,建制
1998,譚耀宗,工會工作者,民建聯,72587,Y,建制
1998,梁志祥,全職議員,民建聯,72587,,建制
1998,周轉香,全職議員,民建聯,72587,,建制
1998,陳雲生,全職議員,民建聯,72587,,建制
1998,許昭暉,中學教師,民建聯,72587,,建制
1998,嚴天生,全職從事政策研究及社區發展工作,民協,19500,,泛民
1998,林致良,福利工作員,先驅社,968,,建制
1998,任善寧,工程師,一二三民主聯盟,3050,,泛民
1998,朱祖恩,保險業經理,一二三民主聯盟,3050,,泛民
1998,麥業成,經理,一二三民主聯盟,3050,,泛民
1998,宋景輝,保險從業員,一二三民主聯盟,3050,,泛民
1998,楊福廣,律師,獨立,6428,,其他
1998,李鵬飛,公司董事,自由黨,33858,,建制
1998,黃耀梓,小學校長,自由黨,33858,,建制
1998,鄭治國,大埔區議員,自由黨,33858,,建制
1998,黃宏發,中文大學講師,獨立,44386,Y,其他
1998,雷一鳴,全職政治家,民權黨,2382,,泛民
1998,劉慧卿,社會運動家,前綫,101811,Y,泛民
1998,何秀蘭,社會運動家,前綫,101811,Y,泛民
1998,劉江華,全職議員,民建聯/公民力量,56731,Y,建制
1998,張漢忠,全職議員,民建聯,56731,,建制
1998,陳平,全職議員,民建聯,56731,,建制
1998,溫悅球,全職議員,民建聯,56731,,建制
1998,黃戊娣,全職議員,民建聯,56731,,建制
1998,鄭家富,律師,民主黨,84629,Y,泛民
1998,黃成智,區域市政局議員,民主黨,84629,,泛民
1998,林咏然,區域市政局議員/區議員,民主黨,84629,,泛民
1998,何淑萍,區議員,民主黨,84629,,泛民
1998,簡炳墀,練馬師,N/A,6637,,其他
