name-en,name-ch
TSANG Yok-sing,曾鈺成
Albert HO,何俊仁
LEE Cheuk-yan,李卓人
James TO,涂謹申
CHAN Kam-lam,陳鑑林
LEUNG Yiu-chung,梁耀忠
Dr LAU Wong-fat,劉皇發
Emily LAU,劉慧卿
TAM Yiu-chung,譚耀宗
Abraham SHEK,石禮謙
Tommy CHEUNG,張宇人
Frederick FUNG,馮檢基
Vincent FANG,方剛
WONG Kwok-hing,王國興
Prof Joseph LEE,李國麟
Jeffrey LAM,林健鋒
Andrew LEUNG,梁君彥
WONG Ting-kwong,黃定光
Ronny TONG,湯家驊
Cyd HO,何秀蘭
Starry LEE,李慧琼
Dr LAM Tai-fai,林大輝
CHAN Hak-kan,陳克勤
CHAN Kin-por,陳健波
Dr Priscilla LEUNG,梁美芬
Dr LEUNG Ka-lau,梁家騮
CHEUNG Kwok-che,張國柱
WONG Kwok-kin,黃國健
IP Kwok-him,葉國謙
Mrs Regina IP,葉劉淑儀
Paul TSE,謝偉俊
Alan LEONG,梁家傑
LEUNG Kwok-hung,梁國雄
Albert CHAN,陳偉業
WONG Yuk-man,黃毓民
Claudia MO,毛孟靜
Michael TIEN,田北辰
James TIEN,田北俊
NG Leung-sing,吳亮星
Steven HO,何俊賢
Frankie YICK,易志明
WU Chi-wai,胡志偉
YIU Si-wing,姚思榮
Gary FAN,范國威
MA Fung-kwok,馬逢國
Charles Peter MOK,莫乃光
CHAN Chi-chuen,陳志全
CHAN Han-pan,陳恒鑌
Dr Kenneth CHAN,陳家洛
CHAN Yuen-han,陳婉嫻
LEUNG Che-cheung,梁志祥
Kenneth LEUNG,梁繼昌
Alice MAK,麥美娟
Dr KWOK Ka-ki,郭家麒
KWOK Wai-keung,郭偉强
Dennis KWOK,郭榮鏗
Christopher CHEUNG,張華峰
Dr Fernando CHEUNG,張超雄
SIN Chung-kai,單仲偕
Dr Helena WONG,黃碧雲
IP Kin-yuen,葉建源
Dr Elizabeth QUAT,葛珮帆
Martin LIAO,廖長江
POON Siu-ping,潘兆平
TANG Ka-piu,鄧家彪
Dr CHIANG Lai-wan,蔣麗芸
Ir Dr LO Wai-kwok,盧偉國
CHUNG Kwok-pan,鍾國斌
Christopher CHUNG,鍾樹根
Tony TSE,謝偉銓
Alvin YEUNG,楊岳橋
