姓名,英文名,Nick Name,所屬團體-finalized,所屬團體1,所屬團體2,階層,類型,派別
曾鈺成,TSANG Yok Sing,Jasper,民建聯,民建聯,,無明確階層,地區,建制
何俊仁,HO Chun Yan,Albert,民主黨,民主黨,,無明確階層,區議會（第二）,泛民
李卓人,LEE Cheuk Yan,,工黨,工黨,香港職工會聯盟,底層,地區,泛民
涂謹申,TO Kun Sun,James,民主黨,民主黨,,無明確階層,區議會（第二）,泛民
陳鑑林,CHAN Kam Lam,,民建聯,民建聯,,無明確階層,地區,建制
梁耀忠,LEUNG Yiu Chung,,街工,街工,,底層,地區,泛民
劉皇發,LAU Wong Fat,,經民聯,經民聯,經濟動力,商界,功能,建制
劉慧卿,LAU Wai Hing,Emily,民主黨,民主黨,,無明確階層,地區,泛民
譚耀宗,TAM Yiu Chung,,民建聯,民建聯,,無明確階層,地區,建制
石禮謙,SHEK Lai Him,Abraham,經民聯,經民聯,,無明確階層,功能,建制
張宇人,CHEUNG Yu Yan,Tommy,自由黨,自由黨,,商界,功能,建制
馮檢基,FUNG Kin Kee,Frederick,民協,民協,,無明確階層,區議會（第二）,泛民
方剛,FANG Kang,Vincent,自由黨,自由黨,,無明確階層,功能,建制
王國興,WONG Kwok Hing,,工聯會,工聯會,,底層,地區,建制
李國麟,LEE Kok Long,Joseph,其他,,,無明確階層,功能,其他
林健鋒,LAM Kin Fung,Jeffrey,經民聯,經民聯,經濟動力,無明確階層,功能,建制
梁君彥,LEUNG Kwan Yuen,Andrew,經民聯,經濟動力,經民聯,商界,功能,建制
黃定光,WONG Ting Kwong,,民建聯,民建聯,,無明確階層,功能,建制
湯家驊,TONG Ka Wah,Ronny,公民黨,公民黨,,無明確階層,地區,泛民
何秀蘭,HO Sau Lan,Cyd,工黨,公民起動,工黨,底層,地區,泛民
李慧琼,LEE Wai King,Starry,民建聯,民建聯,,無明確階層,區議會（第二）,建制
林大輝,LAM Tai Fai,,其他,,,無明確階層,功能,其他
陳克勤,CHAN Hak Kan,,民建聯,民建聯,,無明確階層,地區,建制
陳健波,CHAN Kin Por,,其他,,,無明確階層,功能,其他
梁美芬,LEUNG Mei Fun,Priscilla,經民聯,經民聯,西九新動力,無明確階層,地區,建制
梁家騮,LEUNG Ka Lau,,其他,,,無明確階層,功能,其他
張國柱,CHEUNG Kwok Che,,工黨,社會總工會,工黨,底層,功能,泛民
黃國健,WONG Kwok Kin,,工聯會,工聯會,,底層,地區,建制
葉國謙,IP Kwok Him,,民建聯,民建聯,,無明確階層,功能,建制
葉劉淑儀,IP LAU Suk Yee,Regina,新民黨,新民黨,,底層,地區,建制
謝偉俊,TSE Wai Chun,Paul,其他,,,無明確階層,地區,其他
梁家傑,LEONG Kah Kit,Alan,公民黨,公民黨,,無明確階層,地區,泛民
梁國雄,LEUNG Kwok Hung,,社會民主連線,社會民主連線,四五行動,底層,地區,泛民
陳偉業,CHAN Wai Yip,Albert,人民力量,人民力量,,無明確階層,地區,泛民
黃毓民,WONG Yuk Man,,其他,,,無明確階層,地區,其他
毛孟靜,MO Claudia,Claudia,公民黨,公民黨,,無明確階層,地區,泛民
田北辰,TIEN Puk Sun,Michael,新民黨,新民黨,,無明確階層,地區,建制
田北俊,TIEN Pei Chun,James,自由黨,自由黨,,商界,地區,建制
吳亮星,NG Leung Sing,,其他,,,無明確階層,功能,其他
何俊賢,HO Chun Yin,Steven,民建聯,民建聯,,無明確階層,功能,建制
易志明,Yick Chi Ming,Frankie,自由黨,自由黨,,商界,功能,建制
胡志偉,WU Chi Wai,,民主黨,民主黨,,無明確階層,地區,泛民
姚思榮,YIU Si Wing,,其他,,,無明確階層,功能,其他
范國威,FAN Kwok Wai,Gary,新民主同盟,新民主同盟,,無明確階層,地區,泛民
馬逢國,MA Fung Kwok,,新論壇,新論壇,,無明確階層,功能,建制
莫乃光,MOK Peter,Charles,公共專業聯盟,公共專業聯盟,,無明確階層,功能,泛民
陳志全,CHAN Chi Chuen,Raymond,人民力量,人民力量,前綫,無明確階層,地區,泛民
陳恒鑌,CHAN Han Pan,,民建聯,民建聯,新界社團聯會,無明確階層,地區,建制
陳家洛,CHAN Ka Lok,Kenneth,公民黨,公民黨,,無明確階層,地區,泛民
陳婉嫻,CHAN Yuen Han,,工聯會,工聯會,,底層,區議會（第二）,建制
梁志祥,LEUNG Che Cheung,,民建聯,民建聯,,無明確階層,地區,建制
梁繼昌,LEUNG Kenneth,Kenneth,公共專業聯盟,公共專業聯盟,,無明確階層,功能,泛民
麥美娟,MAK Mei Kuen,Alice,工聯會,工聯會,,底層,地區,建制
郭家麒,KWOK Ka Ki,,公民黨,公民黨,,無明確階層,地區,泛民
郭偉强,KWOK Wai Keung,Aron,工聯會,工聯會,,底層,功能,建制
郭榮鏗,KOWK Dennis,Dennis,公民黨,公民黨,,無明確階層,功能,泛民
張華峰,CHEUNG Wah Fung,Christopher,經民聯,經民聯,,無明確階層,功能,建制
張超雄,CHEUNG Chiu Hung,Fernando,工黨,工黨,,底層,地區,泛民
單仲偕,SIN Chung Kai,,民主黨,民主黨,,無明確階層,地區,泛民
黃碧雲,WONG Pik Wan,Helena,民主黨,民主黨,,無明確階層,地區,泛民
葉建源,IP Kin Yuen,,其他,,,無明確階層,功能,其他
葛珮帆,QUAT Elizabeth,Elizabeth,民建聯,民建聯,,無明確階層,地區,建制
廖長江,LIAO Cheung Kong,Martin,其他,,,無明確階層,功能,其他
潘兆平,POON Siu Ping,,港九勞工社團聯會,港九勞工社團聯會,,底層,功能,建制
鄧家彪,TANG Ka Piu,,工聯會,工聯會,,底層,功能,建制
蔣麗芸,CHIANG Lai Wan,Ann,民建聯,民建聯,,無明確階層,地區,建制
盧偉國,LO Wai Kwok,,經民聯,經民聯,,商界,功能,建制
鍾國斌,CHUNG Kwok Pan,,自由黨,自由黨,,商界,功能,建制
鍾樹根,CHUNG Shu Kun,Christopher,民建聯,民建聯,,無明確階層,地區,建制
謝偉銓,TSE Wai Chuen,Tony,其他,,,無明確階層,功能,其他
