政黨,派別
一二三,泛民
七一人民批,泛民
中國工黨,泛民
中民力,泛民
中自民,泛民
中西區民主力量,泛民
中西區發展動力,建制
中醫權總,其他
人民力量,泛民
人民批,泛民
保守黨,其他
倒董力量,泛民
元天民陣,泛民
公共專業聯盟,泛民
公屋聯會,建制
公民力量,建制
公民協會,建制
公民起動,泛民
公民黨,泛民
公義同盟,泛民
前綫,泛民
勞聯,建制
北區水貨客關注組,其他
南同盟,其他
南方民主同盟,其他
南溪行,其他
友愛安定民生發展同盟,建制
四五,泛民
四五行動,泛民
土地正義聯盟,泛民
大埔民主民生網絡,其他
富昌邨民主民生協會,建制
將軍澳民生關注組,泛民
屯民陣,泛民
工聯會,建制
工黨,泛民
快信社會服務團,其他
打鼓嶺坪峯保衛家園聯盟,泛民
支聯會,泛民
新世紀論壇,建制
新思維,其他
新民主同盟,泛民
新民黨,建制
新界社團聯合會,建制
新界社團聯會,建制
新總商,建制
新論壇,建制
新青年論壇,建制
東九龍社區關注組,泛民
民主動力,泛民
民主會,泛民
民主陣線,泛民
民主黨,泛民
民公派,建制
民協,泛民
民建聯,建制
民權黨,泛民
民網絡,泛民
民間人權陣線,泛民
民間電台,泛民
沙田社區網絡,泛民
泛民民區選聯盟,泛民
泛民民聯盟,泛民
深水埗居民聯會,建制
港九勞工社團聯會,建制
港人民權民生黨,建制
港區潮聯,建制
港進聯,建制
灣仔社區聯盟,泛民
熱血公民,其他
獨民派,泛民
獨立民主派,泛民
社會主義行動,泛民
社民連,泛民
社會民主連線,泛民
神州青年服務社,其他
神州青年服務社民主陣線,泛民
立法會陳偉業議員辦事處,泛民
經民聯,建制
經濟動力,建制
職工盟,泛民
自由黨,建制
自護聯邦,泛民
華革會,建制
街工,泛民
西九新動力,建制
鄉議局,建制
青居聯,建制
青年新政,泛民
青藝協,其他
青論壇,建制
香港中醫師權益總工會,其他
香港公民協會,建制
香港南溪行,其他
香港城邦皇室,其他
香港天水圍婦女聯合會,其他
香港綠黨,其他
香港職工會聯盟,泛民
香港關注會,泛民
香港關註會,泛民
香港青年油畫藝術協進會,其他
香港青年關愛協會,建制
香港革新會,其他
麗瑤社聯,其他
社會總工會,泛民
民主建港聯盟,建制
香港民主民生協進會,泛民
民主經濟愛國聯盟,其他
一二三民主聯盟,泛民
先驅社,建制
香港協進聯盟,建制
街坊工友服務處,泛民
港九工團聯合總會,建制
前綫、公民起動,泛民
民建聯/工聯會,建制
工聯會/民建聯,建制
前線,泛民
香港工會聯合會,建制
民建聯 /新界社團聯會,建制
民主建港協進聯盟,建制
社工總工會 / 工黨,泛民
